========================================================
  VIGILANTE BTC MIL — despertar escalonado piedra OKX
  Estado: C:\Users\lenovo\ShadowHarmy\data\beru\rango\despertar_mil_btc.json
  Intervalo: 30.0s · manos_go=False · dry_run=False
  Cada cruce: 1 rojo + 1 amarillo · proceso PROPIO por Santo
========================================================

[MIL] BTC=77488.40 zona=77000 · sin cruce
[MIL] BTC=77490.60 zona=77000 · sin cruce
[MIL] BTC=77484.90 zona=77000 · sin cruce
[MIL] BTC=77490.60 zona=77000 · sin cruce
[MIL] BTC=77496.30 zona=77000 · sin cruce
[MIL] BTC=77499.90 zona=77000 · sin cruce
[MIL] BTC=77477.50 zona=77000 · sin cruce
[MIL] BTC=77498.70 zona=77000 · sin cruce
[MIL] BTC=77517.90 zona=77000 · sin cruce
[MIL] BTC=77562.40 zona=77000 · sin cruce
[MIL] BTC=77608.90 zona=77000 · sin cruce
[MIL] BTC=77582.70 zona=77000 · sin cruce
[MIL] BTC=77610.40 zona=77000 · sin cruce
[MIL] BTC=77567.80 zona=77000 · sin cruce
[MIL] BTC=77542.60 zona=77000 · sin cruce
[MIL] BTC=77522.30 zona=77000 · sin cruce
[MIL] BTC=77499.90 zona=77000 · sin cruce
[MIL] BTC=77487.00 zona=77000 · sin cruce
[MIL] BTC=77487.40 zona=77000 · sin cruce
[MIL] BTC=77526.20 zona=77000 · sin cruce
[MIL] BTC=77530.00 zona=77000 · sin cruce
[MIL] BTC=77560.00 zona=77000 · sin cruce
[MIL] BTC=77552.50 zona=77000 · sin cruce
[MIL] BTC=77580.20 zona=77000 · sin cruce
[MIL] BTC=77574.10 zona=77000 · sin cruce
[MIL] BTC=77598.30 zona=77000 · sin cruce
[MIL] BTC=77571.70 zona=77000 · sin cruce
[MIL] BTC=77588.10 zona=77000 · sin cruce
[MIL] BTC=77594.00 zona=77000 · sin cruce
[MIL] BTC=77600.00 zona=77000 · sin cruce
[MIL] BTC=77571.30 zona=77000 · sin cruce
[MIL] BTC=77573.10 zona=77000 · sin cruce
[MIL] BTC=77571.30 zona=77000 · sin cruce
[MIL] BTC=77534.50 zona=77000 · sin cruce
[MIL] BTC=77559.20 zona=77000 · sin cruce
[MIL] BTC=77556.50 zona=77000 · sin cruce
[MIL] BTC=77549.90 zona=77000 · sin cruce
[MIL] BTC=77549.90 zona=77000 · sin cruce
[MIL] BTC=77550.00 zona=77000 · sin cruce
[MIL] BTC=77549.90 zona=77000 · sin cruce
[MIL] BTC=77555.30 zona=77000 · sin cruce
[MIL] BTC=77530.10 zona=77000 · sin cruce
[MIL] BTC=77525.10 zona=77000 · sin cruce
[MIL] BTC=77490.10 zona=77000 · sin cruce
[MIL] BTC=77479.40 zona=77000 · sin cruce
[MIL] BTC=77512.30 zona=77000 · sin cruce
[MIL] BTC=77524.90 zona=77000 · sin cruce
[MIL] BTC=77540.00 zona=77000 · sin cruce
[MIL] BTC=77524.20 zona=77000 · sin cruce
[MIL] BTC=77530.60 zona=77000 · sin cruce
[MIL] BTC=77516.10 zona=77000 · sin cruce
[MIL] BTC=77487.10 zona=77000 · sin cruce
[MIL] BTC=77487.20 zona=77000 · sin cruce
[MIL] BTC=77477.40 zona=77000 · sin cruce
[MIL] BTC=77461.50 zona=77000 · sin cruce
[MIL] BTC=77465.50 zona=77000 · sin cruce
[MIL] BTC=77469.90 zona=77000 · sin cruce
[MIL] BTC=77489.30 zona=77000 · sin cruce
[MIL] BTC=77490.30 zona=77000 · sin cruce
[MIL] BTC=77476.80 zona=77000 · sin cruce
[MIL] BTC=77476.80 zona=77000 · sin cruce
[MIL] BTC=77440.20 zona=77000 · sin cruce
[MIL] BTC=77443.80 zona=77000 · sin cruce
[MIL] BTC=77443.70 zona=77000 · sin cruce
[MIL] BTC=77440.10 zona=77000 · sin cruce
[MIL] BTC=77404.30 zona=77000 · sin cruce
[MIL] BTC=77385.00 zona=77000 · sin cruce
[MIL] BTC=77392.40 zona=77000 · sin cruce
[MIL] BTC=77369.80 zona=77000 · sin cruce
[MIL] BTC=77351.20 zona=77000 · sin cruce
[MIL] BTC=77340.70 zona=77000 · sin cruce
[MIL] BTC=77340.60 zona=77000 · sin cruce
[MIL] BTC=77331.50 zona=77000 · sin cruce
[MIL] BTC=77324.60 zona=77000 · sin cruce
[MIL] BTC=77331.60 zona=77000 · sin cruce
[MIL] BTC=77331.60 zona=77000 · sin cruce
[MIL] BTC=77324.50 zona=77000 · sin cruce
[MIL] BTC=77350.30 zona=77000 · sin cruce
[MIL] BTC=77340.60 zona=77000 · sin cruce
[MIL] BTC=77328.80 zona=77000 · sin cruce
[MIL] BTC=77337.10 zona=77000 · sin cruce
[MIL] BTC=77337.30 zona=77000 · sin cruce
[MIL] BTC=77309.40 zona=77000 · sin cruce
[MIL] BTC=77270.50 zona=77000 · sin cruce
[MIL] BTC=77268.40 zona=77000 · sin cruce
[MIL] BTC=77283.70 zona=77000 · sin cruce
[MIL] BTC=77349.40 zona=77000 · sin cruce
[MIL] BTC=77346.20 zona=77000 · sin cruce
[MIL] BTC=77363.00 zona=77000 · sin cruce
[MIL] BTC=77363.00 zona=77000 · sin cruce
[MIL] BTC=77371.00 zona=77000 · sin cruce
[MIL] BTC=77372.90 zona=77000 · sin cruce
[MIL] BTC=77389.60 zona=77000 · sin cruce
[MIL] BTC=77374.10 zona=77000 · sin cruce
[MIL] BTC=77386.40 zona=77000 · sin cruce
[MIL] BTC=77366.40 zona=77000 · sin cruce
[MIL] BTC=77361.60 zona=77000 · sin cruce
[MIL] BTC=77361.70 zona=77000 · sin cruce
[MIL] BTC=77384.10 zona=77000 · sin cruce
[MIL] BTC=77392.20 zona=77000 · sin cruce
[MIL] BTC=77380.00 zona=77000 · sin cruce
[MIL] BTC=77357.00 zona=77000 · sin cruce
[MIL] BTC=77383.20 zona=77000 · sin cruce
[MIL] BTC=77391.60 zona=77000 · sin cruce
[MIL] BTC=77397.40 zona=77000 · sin cruce
[MIL] BTC=77394.80 zona=77000 · sin cruce
[MIL] BTC=77411.80 zona=77000 · sin cruce
[MIL] BTC=77382.50 zona=77000 · sin cruce
[MIL] BTC=77404.00 zona=77000 · sin cruce
[MIL] BTC=77398.50 zona=77000 · sin cruce
[MIL] BTC=77402.40 zona=77000 · sin cruce
[MIL] BTC=77438.00 zona=77000 · sin cruce
[MIL] BTC=77438.20 zona=77000 · sin cruce
[MIL] BTC=77462.40 zona=77000 · sin cruce
[MIL] BTC=77452.80 zona=77000 · sin cruce
[MIL] BTC=77452.90 zona=77000 · sin cruce
[MIL] BTC=77430.10 zona=77000 · sin cruce
[MIL] BTC=77450.80 zona=77000 · sin cruce
[MIL] BTC=77470.50 zona=77000 · sin cruce
[MIL] BTC=77451.20 zona=77000 · sin cruce
[MIL] BTC=77444.40 zona=77000 · sin cruce
[MIL] BTC=77446.60 zona=77000 · sin cruce
[MIL] BTC=77446.50 zona=77000 · sin cruce
[MIL] BTC=77469.90 zona=77000 · sin cruce
[MIL] BTC=77454.60 zona=77000 · sin cruce
[MIL] BTC=77459.90 zona=77000 · sin cruce
